도서명,island_lon,island_lat,grid_no,gid,rank_nn,dist_m_est,weight_inv_dist2
비사도-3,996303.308890974,1618950.8927585736,GR2_G1E41,1443,3,4831.072686665897,4.2846252006112904e-08
추도,996413.3415286175,1618027.6760884835,GR2_G1E34,1506,1,3439.6018429841292,8.452469597490358e-08
추도,996413.3415286175,1618027.6760884835,GR2_G1E33,1505,2,3530.571769462591,8.022502787013897e-08
추도,996413.3415286175,1618027.6760884835,GR2_G1G24,1388,3,3959.762031162659,6.377666394574409e-08
달리도,996270.6227922825,1617965.6382489568,GR2_G1E33,1505,1,3527.8580556357997,8.034849739725414e-08
달리도,996270.6227922825,1617965.6382489568,GR2_G1E34,1506,2,3553.1066195330286,7.92106334048013e-08
달리도,996270.6227922825,1617965.6382489568,GR2_G1G23,1387,3,3928.877998714123,6.478327297803222e-08
초도,995680.4156278896,1619948.5000156432,GR2_G1E33,1505,1,1492.335637466381,4.490211363100714e-07
초도,995680.4156278896,1619948.5000156432,GR2_G1E34,1506,2,2402.601310459742,1.7323534509028917e-07
초도,995680.4156278896,1619948.5000156432,GR2_G1E32,1442,3,3861.2275967833116,6.707322181542097e-08
오도,995815.9832568279,1619591.8343008808,GR2_G1E33,1505,1,1867.613982537908,2.866986460387013e-07
오도,995815.9832568279,1619591.8343008808,GR2_G1E34,1506,2,2502.065753489207,1.597358854086419e-07
오도,995815.9832568279,1619591.8343008808,GR2_G1E32,1442,3,4116.27216404559,5.9018995016770176e-08
대항도,1003844.69936137,1605415.7708292631,GR2_G1I12,1570,1,2005.2909257706901,2.486824371165925e-07
대항도,1003844.69936137,1605415.7708292631,GR2_G1I13,1633,2,3129.3280840974667,1.021169324340119e-07
대항도,1003844.69936137,1605415.7708292631,GR2_G1I11,1569,3,3811.402068652695,6.883834798844425e-08
대항도-1,1004213.1074409337,1605462.8119917293,GR2_G1I12,1570,1,2069.010796870251,2.336008316471468e-07
대항도-1,1004213.1074409337,1605462.8119917293,GR2_G1I13,1633,2,2819.6436428955185,1.2577997304434335e-07
대항도-1,1004213.1074409337,1605462.8119917293,GR2_G1I11,1569,3,4109.529789786602,5.921281503199684e-08
대항도-2,1004267.3679165877,1605420.9316005185,GR2_G1I12,1570,1,2128.6064455208852,2.2070346847400775e-07
대항도-2,1004267.3679165877,1605420.9316005185,GR2_G1I13,1633,2,2809.1132548984474,1.2672475112693677e-07
대항도-2,1004267.3679165877,1605420.9316005185,GR2_G1I11,1569,3,4177.068442649249,5.73134817538419e-08
대항도-3,1003395.3699915267,1604709.4846643668,GR2_G1I12,1570,1,2668.244199633689,1.4045874736457482e-07
대항도-3,1003395.3699915267,1604709.4846643668,GR2_G1I11,1569,2,3880.8269452743198,6.639745253314144e-08
대항도-3,1003395.3699915267,1604709.4846643668,GR2_G1I13,1633,3,3931.4843532460754,6.4697406072518e-08
창끝,1000871.1250146467,1608346.5875826671,GR2_G1I11,1569,1,1013.4400038648167,9.736513950654914e-07
창끝,1000871.1250146467,1608346.5875826671,GR2_G1I12,1570,2,2735.3581448112154,1.336507953079741e-07
창끝,1000871.1250146467,1608346.5875826671,GR2_G1H44,1520,3,3293.0077374712478,9.2217736382574e-08
창끝-1,1000980.1965774888,1608522.0158308519,GR2_G1I11,1569,1,1214.1708163711621,6.783285952869424e-07
창끝-1,1000980.1965774888,1608522.0158308519,GR2_G1I12,1570,2,2703.120919651629,1.3685762321575923e-07
창끝-1,1000980.1965774888,1608522.0158308519,GR2_G1H44,1520,3,3451.552507976378,8.394039224138274e-08
외나라도,1000118.8779891415,1605587.457126553,GR2_G1I11,1569,1,1847.046990023281,2.9311900927160066e-07
외나라도,1000118.8779891415,1605587.457126553,GR2_G1H44,1520,2,2989.69420712026,1.1187844243507574e-07
외나라도,1000118.8779891415,1605587.457126553,GR2_G1I12,1570,3,3763.2013749381795,7.061306323758438e-08
곡두도,999459.529603605,1600568.0980510227,GR2_G1J21,1575,1,1122.4430229253708,7.937268026215346e-07
곡두도,999459.529603605,1600568.0980510227,GR2_G1J14,1638,2,1740.3719122418775,3.3015336295117273e-07
곡두도,999459.529603605,1600568.0980510227,GR2_G1J22,1576,3,3973.4777000785953,6.333713469569539e-08
곡두도-1,999795.6569834751,1600384.8959873347,GR2_G1J21,1575,1,785.164411885085,1.6221017101787023e-06
곡두도-1,999795.6569834751,1600384.8959873347,GR2_G1J14,1638,2,2074.761311328564,2.3230770647958498e-07
곡두도-1,999795.6569834751,1600384.8959873347,GR2_G1J22,1576,3,3636.8000782798595,7.560684429530108e-08
탕건도,1000947.4667215289,1597001.0699570475,GR2_G1K31,1705,1,3472.8531196066497,8.291385974639351e-08
탕건도,1000947.4667215289,1597001.0699570475,GR2_G1J21,1575,2,3481.1105811673388,8.252097023217334e-08
탕건도,1000947.4667215289,1597001.0699570475,GR2_G1K32,1706,3,4254.783594318371,5.523890029509509e-08
죽도,996717.3079146532,1612851.1840903955,GR2_G1G24,1388,1,1758.4338573933744,3.234057857264141e-07
죽도,996717.3079146532,1612851.1840903955,GR2_G1G23,1387,2,2339.070702239163,1.8277349734693683e-07
죽도,996717.3079146532,1612851.1840903955,GR2_G1G31,1449,3,4118.847292695438,5.894522001356433e-08
동백도,997096.9352962334,1613296.5934892006,GR2_G1G24,1388,1,1177.148988271067,7.216669545222594e-07
동백도,997096.9352962334,1613296.5934892006,GR2_G1G23,1387,2,2434.748882304926,1.686908693832443e-07
동백도,997096.9352962334,1613296.5934892006,GR2_G1G31,1449,3,3618.639664469302,7.636762568435874e-08
성주도,995680.2957262194,1613029.710305328,GR2_G1G23,1387,1,1497.829254687893,4.4573341113266007e-07
성주도,995680.2957262194,1613029.710305328,GR2_G1G24,1388,2,2403.438316093762,1.731147065154677e-07
성주도,995680.2957262194,1613029.710305328,GR2_G1G14,1386,3,3868.0930546238965,6.683533731772608e-08
형제섬,995666.9937789028,1613084.8235598041,GR2_G1G23,1387,1,1444.3196974146485,4.793725079050977e-07
형제섬,995666.9937789028,1613084.8235598041,GR2_G1G24,1388,2,2386.428170204352,1.7559137911871815e-07
형제섬,995666.9937789028,1613084.8235598041,GR2_G1G14,1386,3,3837.79331107015,6.789484596320814e-08
내나로도,996343.2077278136,1612743.30865905,GR2_G1G24,1388,1,2075.8091193862206,2.3207324137984892e-07
내나로도,996343.2077278136,1612743.30865905,GR2_G1G23,1387,2,2134.415024106596,2.1950386224037573e-07
내나로도,996343.2077278136,1612743.30865905,GR2_G1G31,1449,3,4507.150291781659,4.9226153174225816e-08
항도,1000032.1960422803,1612188.8322029482,GR2_G1G31,1449,1,2171.847996651303,2.1200253538955003e-07
항도,1000032.1960422803,1612188.8322029482,GR2_G1G24,1388,2,3121.2026892216268,1.0264930435874979e-07
항도,1000032.1960422803,1612188.8322029482,GR2_G1G32,1450,3,3993.1284520885915,6.27152865471186e-08
