번호,관련번호,상위번호,도서명,자료출처,지명유래,X좌표,Y좌표,유무인도,연육도현황,기타,도형정보
581,사양-14,4.68E+18,호리도,행정,지역주민은 개도라고 ,236431.61,211216.95,0,,,POINT (236431.60515587556 211216.95026653435)
582,사양-15,4.68E+18,화도,행정,오형제도 인근에 있는,236965.19,211152.48,0,,,POINT (236950.40098722582 211141.27681226894)
583,사양-16,4.68E+18,삼도,고시,"잔여 남쪽에 있으며, ",233096.62,207420.99,0,,,POINT (233109.1167387129 207521.23195980524)
584,사양-17,4.68E+18,삼도-1,고시,섬 꼭대기 부분이 검다,233112.7,207515.38,0,,,POINT (233093.7013288361 207699.5044861599)
585,사양-18,4.68E+18,석환도,고시,섬 주위를 암석이 고리,231376.52,204020.92,0,,,POINT (233761.36292406707 205166.54446367634)
586,사양-19,4.68E+18,석환도-1,부여,석환도 인근의 섬,231865.63,203909.45,0,,미등록섬,POINT (231865.63053004074 203909.44782968832)
587,사양-20,4.68E+18,삼도-2,행정,섬의 봉우리가 3개라서,233097.22,207428,0,,미등록섬,POINT (233097.22455674957 207427.99776804674)
588,사양-21,4.68E+18,가매도,행정,갈매기가 날고 있는 형,233375.35,206718.6,0,,미등록섬,POINT (233375.35325623146 206718.5952578531)
589,사양-22,4.68E+18,가매도-1,부여,가매도 끝자락에 있는,233683.34,206773.95,0,,미등록섬,POINT (233683.34095125613 206773.94935570972)
590,사양-23,4.68E+18,구도,행정,지형이 장구와 같이 구,234111.34,208591.17,0,,미등록섬,POINT (234111.34301776002 208591.16636727785)
